screen_name,text,polarity,,,
IAmMarioCruz," I fuel the fire with everything they said. It's stuck in my mind: ""You're better off dead""",negative,,,
Mojeesolahr_,!!! @aWoZy: Na make we dey plan guneral remain o. “@Gbengaa__: The day arsenal beats bayern munchen 6-1 I might just commit suicide tbvh,positive,,,
__lauraluna,""" tell me when I'm dead ""
"" you're better off dead """,negative,,,
_jayywalker,"""@__ObeyBossJAY: Everytime LeeLee text me I be dead! """,negative,,,
losingxhope,"""@__SkinnyPlease: Even when I'm not sad I want to die.""",negative,,,
devinramsey_,"""@_DUDEMANBROO: happy by pharrell seriously has me feeling some type of wayyyyy "" yeah suicidal.",positive,,,
xjeweetzelluf,"""@B4NDLYRICS_: Feel the pressure. It's getting closer now. You're better off without me.""",negative,,,
periwinkleteaa,"""@bitchassadela: I wanna kill myself every time that fucking Rosetta Stone commercial comes out it's so stupid omg"" education connection*",negative,,,
7legend_tipster,"""@bksarpong: “@McCLean69: ""@bksarpong: If u ever leave me baby"".                          I see u committing suicide”lmao"" lol",negative,,,
purpleandp1nk,"""@chrizdarlz: “@_cannubis: @chrizdarlz drop me his number loool” you must want to die https://twitter.com/chrizdarlz/status/443898810256093184/photo/1pic.twitter.com/znBqULKVIe "" LOL can i just have you then",negative,,,
Young___Pistol,"""@Court_h20s: I'll be happy when it's Walking Dead time "" I'll be happy when you shut the hell up....lol",positive,,,
javondavis73,"""@CreativeEraDX: Committing suicide stupid as fuck"" this is ignorant as fuck...",negative,,,
Scopanishland,"""@cuttingquote: My suicide letter -cq pic.twitter.com/qxbpNOXmTL"" sad",negative,,,
ayeitschey,"""@DizzyDeszz: Just let me sleep forever.""",negative,,,
mynameiserlene,"""@DizzyDeszz: Just let me sleep forever.""",negative,,,
BritFraanks,"""@ElBootyKing: Suicide note: I had to choose between pizza or drugs""@brcaaam i wasn't hungry.",negative,,,
stylesdlmples,"""@grierstears: my suicide letter... i'm sorry guys ): i cant do this anymore ugh x https://twitter.com/grierstears/status/435547667448758272/photo/1pic.twitter.com/cRwrfYHAs2 "" this scared the shit out of me",negative,,,
mixedbee16,"""@HannahPierce18: Wake me up in never""",negative,,,
hellooodaisy,"""@KatTheGiraffe: ""@ummmdaisy: Kathy wants to die"" you be talking but not swinging"" fight me",negative,,,
nessssaaaboo,"""@KaylitaKayla: people are just better off without me..""",negative,,,
real_shanaynay,"""@kprebles: just wanna go to sleep forever "" I just woke up ((((:",negative,,,
itsjustmyluv,"""@LaughSleepRept: I die a little inside when I see an old person eating alone in a restaurant.""",negative,,,
SeanGegen,"""@leesha_williamz: Could honestly sleep forever"" that's called being dead.",negative,,,
_claudiiax,"""@LifeHeIps: If you want to make your dreams come true, the first thing you have to do is wake up.""
Never gonna happen, i have weird dreams",positive,,,
_ayodesiraee,"""@melindamarie15: I'm just gonna move on, I know you're better off without me & I'm better off without you."" Amen! ?",negative,,,
_StephanieNagbe,"""@MikeG_609: “@lifeanditself: I think imma die alone lol” RT """,negative,,,
gmkthegreat,"""@MitaMae01: I always have a camera on me. Because a life not documented is a life not worth living""",negative,,,
salmatorres_,"""@ohteenposts: I die a little inside when I see an old person eating alone at a restaurant."" YASS ",negative,,,
writerm25,"""@OnceABC: ""A child can't have a child, Rumple. We both know you're better off without me."" pic.twitter.com/HkyzkeMFzJ"" I know a few Peter's",negative,,,
paulaponto,"""@RealJackShankly: Tired of living like a blind man/I'm sick of sight without a sense of feeling""",negative,,,
checkdemz,"""@sexwithdalIas my suicide letter... i'm so sorry guys x pic.twitter.com/rtY4fsAWnZ"" shit my heart skipped a beat and i was about to cry",negative,,,
jennmarie___,"""@SlutSam: But in the end, I'm glad to say you were in my life""",positive,,,
Hesnokaseyd,"""@spmcneil: Anyone wanna play ghosts or should I just kill myself?"" Suicide pact?",negative,,,
RiveraSlim_xo,"""@stackz_Books: at the end of the day it's my life and I learn from my mistakes.""",negative,,,
